example_id                                                                                   | status  | run_time        |
./spec/lib/pact_broker/client/cli/version_selector_options_parser_spec.rb[1:5]               | passed  | 0.00009 seconds |
./spec/lib/pact_broker/client/cli/version_selector_options_parser_spec.rb[1:6]               | passed  | 0.00012 seconds |
./spec/lib/pact_broker/client/cli/version_selector_options_parser_spec.rb[1:7]               | passed  | 0.00013 seconds |
./spec/lib/pact_broker/client/cli/version_selector_options_parser_spec.rb[1:8]               | passed  | 0.00012 seconds |
./spec/lib/pact_broker/client/cli/version_selector_options_parser_spec.rb[1:9]               | passed  | 0.00013 seconds |
./spec/lib/pact_broker/client/cli/version_selector_options_parser_spec.rb[1:10]              | passed  | 0.00012 seconds |
./spec/lib/pact_broker/client/hal/entity_spec.rb[1:1]                                        | passed  | 0.00029 seconds |
./spec/lib/pact_broker/client/hal/entity_spec.rb[1:2:1]                                      | passed  | 0.00038 seconds |
./spec/lib/pact_broker/client/hal/entity_spec.rb[1:2:2]                                      | passed  | 0.00065 seconds |
./spec/lib/pact_broker/client/hal/entity_spec.rb[1:2:3:1]                                    | passed  | 0.00042 seconds |
./spec/lib/pact_broker/client/hal/entity_spec.rb[1:3:1:1]                                    | passed  | 0.00024 seconds |
./spec/lib/pact_broker/client/hal/entity_spec.rb[1:3:2:1]                                    | passed  | 0.00022 seconds |
./spec/lib/pact_broker/client/hal/entity_spec.rb[1:4:1:1]                                    | passed  | 0.00141 seconds |
./spec/lib/pact_broker/client/hal/entity_spec.rb[1:4:2:1]                                    | passed  | 0.00025 seconds |
./spec/lib/pact_broker/client/hal/http_client_spec.rb[1:1:1]                                 | passed  | 0.0025 seconds  |
./spec/lib/pact_broker/client/hal/http_client_spec.rb[1:1:2:1]                               | passed  | 0.00878 seconds |
./spec/lib/pact_broker/client/hal/http_client_spec.rb[1:1:3]                                 | passed  | 0.00374 seconds |
./spec/lib/pact_broker/client/hal/http_client_spec.rb[1:1:4]                                 | passed  | 0.00334 seconds |
./spec/lib/pact_broker/client/hal/http_client_spec.rb[1:2:1]                                 | passed  | 0.0042 seconds  |
./spec/lib/pact_broker/client/hal/http_client_spec.rb[1:2:2]                                 | passed  | 0.00277 seconds |
./spec/lib/pact_broker/client/hal/http_client_spec.rb[1:2:3]                                 | passed  | 0.00299 seconds |
./spec/lib/pact_broker/client/hal/http_client_spec.rb[1:2:4:1]                               | passed  | 0.00197 seconds |
./spec/lib/pact_broker/client/hal/link_spec.rb[1:1:1]                                        | passed  | 0.0011 seconds  |
./spec/lib/pact_broker/client/hal/link_spec.rb[1:1:2]                                        | passed  | 0.00505 seconds |
./spec/lib/pact_broker/client/hal/link_spec.rb[1:1:3]                                        | passed  | 0.00063 seconds |
./spec/lib/pact_broker/client/hal/link_spec.rb[1:1:4:1]                                      | passed  | 0.00127 seconds |
./spec/lib/pact_broker/client/hal/link_spec.rb[1:2:1]                                        | passed  | 0.00163 seconds |
./spec/lib/pact_broker/client/hal/link_spec.rb[1:3:1:1]                                      | passed  | 0.00062 seconds |
./spec/lib/pact_broker/client/hal/link_spec.rb[1:4:1]                                        | passed  | 0.00055 seconds |
./spec/lib/pact_broker/client/matrix/text_formatter_spec.rb[1:1:1]                           | passed  | 0.00129 seconds |
./spec/lib/pact_broker/client/matrix/text_formatter_spec.rb[1:2:1]                           | passed  | 0.00047 seconds |
./spec/lib/pact_broker/client/matrix_spec.rb[1:1:1]                                          | passed  | 0.00329 seconds |
./spec/lib/pact_broker/client/merge_pacts_spec.rb[1:1:1]                                     | passed  | 0.0002 seconds  |
./spec/lib/pact_broker/client/merge_pacts_spec.rb[1:1:2:1]                                   | passed  | 0.00043 seconds |
./spec/lib/pact_broker/client/pact_broker_client_spec.rb[1:1:1]                              | passed  | 0.00033 seconds |
./spec/lib/pact_broker/client/pact_broker_client_spec.rb[1:1:2]                              | passed  | 0.00023 seconds |
./spec/lib/pact_broker/client/pact_broker_client_spec.rb[1:1:3]                              | passed  | 0.00028 seconds |
./spec/lib/pact_broker/client/pact_broker_client_spec.rb[1:1:4]                              | passed  | 0.00033 seconds |
./spec/lib/pact_broker/client/pact_broker_client_spec.rb[1:2:1]                              | passed  | 0.00037 seconds |
./spec/lib/pact_broker/client/pact_broker_client_spec.rb[1:3:1]                              | passed  | 0.00037 seconds |
./spec/lib/pact_broker/client/pacticipants_spec.rb[1:1:1]                                    | passed  | 0.00039 seconds |
./spec/lib/pact_broker/client/publish_pacts_spec.rb[1:1:1]                                   | passed  | 0.01404 seconds |
./spec/lib/pact_broker/client/publish_pacts_spec.rb[1:1:2:1]                                 | passed  | 0.00662 seconds |
./spec/lib/pact_broker/client/publish_pacts_spec.rb[1:1:2:2]                                 | passed  | 0.00952 seconds |
./spec/lib/pact_broker/client/publish_pacts_spec.rb[1:1:3:1]                                 | passed  | 0.007 seconds   |
./spec/lib/pact_broker/client/publish_pacts_spec.rb[1:1:4:1]                                 | passed  | 0.00716 seconds |
./spec/lib/pact_broker/client/publish_pacts_spec.rb[1:1:4:2]                                 | passed  | 0.00648 seconds |
./spec/lib/pact_broker/client/publish_pacts_spec.rb[1:1:4:3]                                 | passed  | 0.00539 seconds |
./spec/lib/pact_broker/client/publish_pacts_spec.rb[1:1:5:1]                                 | passed  | 0.00397 seconds |
./spec/lib/pact_broker/client/publish_pacts_spec.rb[1:1:6:1]                                 | passed  | 0.00336 seconds |
./spec/lib/pact_broker/client/publish_pacts_spec.rb[1:1:7:1]                                 | passed  | 0.0035 seconds  |
./spec/lib/pact_broker/client/publish_pacts_spec.rb[1:1:8:1]                                 | passed  | 0.00398 seconds |
./spec/lib/pact_broker/client/publish_pacts_spec.rb[1:1:8:2]                                 | passed  | 0.004 seconds   |
./spec/lib/pact_broker/client/publish_pacts_spec.rb[1:1:8:3:1]                               | passed  | 0.00612 seconds |
./spec/lib/pact_broker/client/publish_pacts_spec.rb[1:1:8:3:2]                               | passed  | 0.00516 seconds |
./spec/lib/pact_broker/client/publish_pacts_spec.rb[1:1:9:1]                                 | passed  | 0.00437 seconds |
./spec/lib/pact_broker/client/publish_pacts_spec.rb[1:1:9:2]                                 | passed  | 0.00491 seconds |
./spec/lib/pact_broker/client/publish_pacts_spec.rb[1:1:10:1]                                | passed  | 0.00412 seconds |
./spec/lib/pact_broker/client/publish_pacts_spec.rb[1:1:10:2]                                | passed  | 0.00406 seconds |
./spec/lib/pact_broker/client/tasks/publication_task_spec.rb[1:1:1:1]                        | passed  | 0.00066 seconds |
./spec/lib/pact_broker/client/tasks/publication_task_spec.rb[1:1:2:1]                        | passed  | 0.0005 seconds  |
./spec/lib/pact_broker/client/tasks/publication_task_spec.rb[1:2:1]                          | passed  | 0.00049 seconds |
./spec/lib/pact_broker/client/tasks/publication_task_spec.rb[1:3:1]                          | passed  | 0.00078 seconds |
./spec/lib/pact_broker/client/tasks/publication_task_spec.rb[1:4:1]                          | passed  | 0.00058 seconds |
./spec/lib/pact_broker/client/tasks/publication_task_spec.rb[1:5:1]                          | passed  | 0.00039 seconds |
./spec/lib/pact_broker/client/versions/describe_spec.rb[1:1:1]                               | passed  | 0.00075 seconds |
./spec/lib/pact_broker/client/versions/describe_spec.rb[1:1:2]                               | passed  | 0.0006 seconds  |
./spec/lib/pact_broker/client/versions/describe_spec.rb[1:1:3]                               | passed  | 0.00059 seconds |
./spec/lib/pact_broker/client/versions/describe_spec.rb[1:1:4]                               | passed  | 0.00061 seconds |
./spec/lib/pact_broker/client/versions_spec.rb[1:1:1]                                        | passed  | 0.00028 seconds |
./spec/lib/pact_broker/client/versions_spec.rb[1:2:1:1]                                      | passed  | 0.00236 seconds |
./spec/lib/pact_broker/client/versions_spec.rb[1:3:1:1]                                      | passed  | 0.00135 seconds |
./spec/lib/pact_broker/client/versions_spec.rb[1:3:2:1]                                      | passed  | 0.00082 seconds |
./spec/service_providers/extra_goodies_spec.rb[1:1:1:1]                                      | passed  | 0.01198 seconds |
./spec/service_providers/extra_goodies_spec.rb[1:2:1:1]                                      | passed  | 0.01396 seconds |
./spec/service_providers/extra_goodies_spec.rb[1:3:1:1]                                      | passed  | 0.01069 seconds |
./spec/service_providers/extra_goodies_spec.rb[1:3:2:1]                                      | passed  | 0.01414 seconds |
./spec/service_providers/pact_broker_client_environments_spec.rb[1:1:1:1]                    | passed  | 0.01947 seconds |
./spec/service_providers/pact_broker_client_environments_spec.rb[1:1:2:1]                    | passed  | 0.01561 seconds |
./spec/service_providers/pact_broker_client_matrix_spec.rb[1:1:1:1]                          | passed  | 0.01273 seconds |
./spec/service_providers/pact_broker_client_matrix_spec.rb[1:1:2:1]                          | passed  | 0.0122 seconds  |
./spec/service_providers/pact_broker_client_matrix_spec.rb[1:1:3:1]                          | passed  | 0.01116 seconds |
./spec/service_providers/pact_broker_client_matrix_spec.rb[1:1:4:1]                          | passed  | 0.01183 seconds |
./spec/service_providers/pact_broker_client_matrix_spec.rb[1:1:5:1]                          | passed  | 0.01099 seconds |
./spec/service_providers/pact_broker_client_matrix_spec.rb[1:1:6:1]                          | passed  | 0.01111 seconds |
./spec/service_providers/pact_broker_client_matrix_spec.rb[1:1:7:1]                          | passed  | 0.01113 seconds |
./spec/service_providers/pact_broker_client_matrix_spec.rb[1:1:8:1]                          | passed  | 0.01299 seconds |
./spec/service_providers/pact_broker_client_matrix_spec.rb[1:1:9:1]                          | passed  | 0.01172 seconds |
./spec/service_providers/pact_broker_client_matrix_spec.rb[1:1:10:1]                         | passed  | 0.01331 seconds |
./spec/service_providers/pact_broker_client_pacticipant_version_spec.rb[1:1:1:1:1]           | pending | 0.00001 seconds |
./spec/service_providers/pact_broker_client_pacticipant_version_spec.rb[1:1:2:1]             | pending | 0 seconds       |
./spec/service_providers/pact_broker_client_publish_spec.rb[1:1:1:1]                         | passed  | 0.01152 seconds |
./spec/service_providers/pact_broker_client_publish_spec.rb[1:1:2:1:1:1]                     | passed  | 0.01051 seconds |
./spec/service_providers/pact_broker_client_publish_spec.rb[1:1:2:2:1:1]                     | passed  | 0.01439 seconds |
./spec/service_providers/pact_broker_client_publish_spec.rb[1:1:3:1]                         | passed  | 0.01345 seconds |
./spec/service_providers/pact_broker_client_publish_spec.rb[1:1:4:1]                         | passed  | 0.01388 seconds |
./spec/service_providers/pact_broker_client_register_repository_spec.rb[1:1:1:1]             | passed  | 0.00835 seconds |
./spec/service_providers/pact_broker_client_register_repository_spec.rb[1:1:2:1]             | passed  | 0.00858 seconds |
./spec/service_providers/pact_broker_client_retrieve_all_pacts_for_provider_spec.rb[1:1:1:1] | passed  | 0.0133 seconds  |
./spec/service_providers/pact_broker_client_retrieve_all_pacts_for_provider_spec.rb[1:1:2:1] | passed  | 0.00946 seconds |
./spec/service_providers/pact_broker_client_retrieve_pact_spec.rb[1:1:1:1]                   | passed  | 0.0101 seconds  |
./spec/service_providers/pact_broker_client_retrieve_pact_spec.rb[1:1:2:1:1]                 | passed  | 0.01083 seconds |
./spec/service_providers/pact_broker_client_retrieve_pact_spec.rb[1:1:2:2:1]                 | passed  | 0.00837 seconds |
./spec/service_providers/pact_broker_client_retrieve_pact_spec.rb[1:1:3:1:1]                 | passed  | 0.0087 seconds  |
./spec/service_providers/pact_broker_client_tags_spec.rb[1:1:1:1]                            | passed  | 0.00974 seconds |
./spec/service_providers/pact_broker_client_tags_spec.rb[1:1:2:1]                            | passed  | 0.0107 seconds  |
./spec/service_providers/pact_broker_client_tags_spec.rb[1:1:3:1]                            | passed  | 0.01136 seconds |
./spec/service_providers/pact_broker_client_versions_spec.rb[1:1:1]                          | passed  | 0.01609 seconds |
./spec/service_providers/pact_broker_client_versions_spec.rb[1:2:1]                          | passed  | 0.01652 seconds |
